ЯблокиК	Мешок
ЯблокиЖ	Монета Золотая
ЯблокиЗ	Cucumber
Бананы	Меч 2
Виноград	Basil Leaf Violet
Морковь	Кубок Бронзовый
ЗаяцБ	Snow Weasel
ЗаяцС	Quokka
Жабы	Frog
Листы	Arugula Leaf A
Киви	Olive Green
Сэндвичи	Печенье Ёлка
Томаты	jam
Яичницы	Письмо
Сыр	Cheese
Батоны bread
КусочкиСэндвича	Mushroom Slice
КуриныеНожки	Мясо на кости
ШарикиК	Ёлочная игрушка  Красная
ШарикиЖ	Ёлочная игрушка  Жёлтая
ШарикиФ	Ёлочная игрушка  Фиолетовая
ШарикиС	Ёлочная игрушка Синяя
ШарикиЗ Ёлочная игрушка Зеленая
Апельсины	Шар Пинг-Понг
ЛуныЧ	Бомба 4
ШарыДляБоулинга	Шар Боулинговый
ПланетыСЗ	Шар Волейбольный
Утки	Pelican
УтятаЖ	Duck
Тыквы	Тыква Хэллоуин
Барабаны	Консервы
КусочкиАрбуза	Звезда Красная
Жирафы	Pronghorn
Мед	Свеча
КруглыеПчелы	Clownfish
ПчелыСБольшойГоловой	GilaMonster
Кофе	Череп
Круассаны	Печенье  Звезда
Торты	Cheesecake_Plain_Slice_01
ПончикиР	candy
ПончикЗ	candy.001
ПончикЖ	candy.002
ПончикСП	donut
ПончикСПР	donut.001
ПончикСПС	donut.002
ШоколадныеТортики	Cheesecake_Chocolate_Whole
Кексы	Cupcake_Chocolate
ПодаркиК	gift
ПодаркиЗ	gift.001
ПодаркиФСТ	gift.003
ПодаркиБР	gift.004
ПодаркиФ	gift.002
Лимоны	Колокольчик
Кубики	Игральный Кубик Серебряный
РозовыеГитары	Звезда на ёлоку фиолетовая
7	Snake
Чеснок	Подарок Без банта Фиолетовый
БанкиКвСЖ	Рождественский носок Синий
БанкиКрСФ	Рождественский носок Фиолетовый
БанкиКрК	Рождественский носок Красный
БанкиБ	Рождественский носок Жёлтый
Чайники	pot
СамолетыБК	snowman
СамолетыБЖ	snowman.002
СамолетыБЗ	snowman.001
СамолетыБФ	snowman.003
СамолетыБО	snowman.004
СамолетыБС	snowman.005
СамолетыО	snowman.006
СамолетыФ	snowman.008
СамолетыЖ	snowman.007
КристаллыК	Алмаз 1
КристаллыЖ	Алмаз 2
КристаллыФ	Алмаз 3
КристаллыС	Алмаз
КристаллыР	Алмаз 4
КристаллыЗ	Алмаз 5
Роботы	Тюбик Голубой
?	Cobra
!	Emu
КорзинкиР	basket
КорзинкиЗО	basket.001
КорзинкиБР	basket.002
КорзинкиЖС	basket.003
ДлинныйФрукт	Губная помада жидкая Красная
Горох	Омела 2
Вишня	Звезда на ёлоку красная
Трубы	Звезда на ёлоку жёлтая
Пианино	piano
Радио	Кинга Розовая
Микрофоны	Ключ Золотой 2
Звезды	Звезда 1
КнижкиМаленькиеЖО	book
КнижкиМаленькиеСЖ	Книга 3
КнижкиМаленькиеЖК	book.001
КарандашиЖ	pen
КарандашиР	pen.001
КарандашиФ	pen.002
НотыС	treble clef
НотыР	treble clef.001
НотыЖ	treble clef.002
Т	Bat
Планшеты	Щит 3
ПортфелиЗО	bag
ПортфелиЖК	bag.001
ПортфелиБК	bag.002
ПортфелиК	bag.003
ПортфелиФЗ	bag.004
МаркерыЖ	model_0.001
